Model,Term,Estimate,Standard Error,Statistic,p value
m26,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08532796,0.039,-2.207,0.04
m27,(Intercept),4.88269691,1.286,3.798,0.001
m27,Icy_Strait_SST_AMJ,-0.4109228,0.172,-2.386,0.028
m27,as.factor(vessel)Cobb:adj_raw_pink_log,0.35316848,0.097,3.637,0.002
m27,as.factor(vessel)Medeia:adj_raw_pink_log,0.35204782,0.135,2.609,0.017
m27,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.28046474,0.079,3.537,0.002
m27,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08920433,0.037,-2.432,0.025
m28,(Intercept),5.03955741,1.479,3.408,0.003
m28,Icy_Strait_SST_AMJJ,-0.3678838,0.172,-2.135,0.046
m28,as.factor(vessel)Cobb:adj_raw_pink_log,0.3567172,0.1,3.56,0.002
m28,as.factor(vessel)Medeia:adj_raw_pink_log,0.3535205,0.139,2.538,0.02
m28,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.2701824,0.08,3.359,0.003
m28,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08403678,0.038,-2.227,0.038
m29,(Intercept),4.38067102,1.125,3.894,0.001
m29,NSEAK_SST_May,-0.31837358,0.137,-2.326,0.031
m29,as.factor(vessel)Cobb:adj_raw_pink_log,0.32007512,0.096,3.343,0.003
m29,as.factor(vessel)Medeia:adj_raw_pink_log,0.32316359,0.133,2.431,0.025
m29,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.2554518,0.077,3.311,0.004
m29,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.09173032,0.037,-2.489,0.022
m30,(Intercept),5.22224454,1.748,2.988,0.008
m30,NSEAK_SST_MJJ,-0.33185154,0.177,-1.875,0.076
m30,as.factor(vessel)Cobb:adj_raw_pink_log,0.32965984,0.1,3.286,0.004
m30,as.factor(vessel)Medeia:adj_raw_pink_log,0.34380971,0.142,2.414,0.026
m30,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.2517194,0.081,3.127,0.006
m30,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08421781,0.039,-2.18,0.042
m31,(Intercept),5.10019135,1.321,3.861,0.001
m31,NSEAK_SST_AMJ,-0.42607565,0.172,-2.484,0.022
m31,as.factor(vessel)Cobb:adj_raw_pink_log,0.33631374,0.095,3.543,0.002
m31,as.factor(vessel)Medeia:adj_raw_pink_log,0.34901007,0.133,2.624,0.017
m31,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.26892788,0.077,3.492,0.002
m31,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08323123,0.036,-2.281,0.034
m32,(Intercept),5.41037815,1.599,3.383,0.003
m32,NSEAK_SST_AMJJ,-0.40506366,0.185,-2.195,0.041
m32,as.factor(vessel)Cobb:adj_raw_pink_log,0.33887155,0.098,3.46,0.003
m32,as.factor(vessel)Medeia:adj_raw_pink_log,0.35499882,0.138,2.563,0.019
m32,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.26010629,0.079,3.306,0.004
m32,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08291706,0.038,-2.207,0.04
m33,(Intercept),4.30020179,1.195,3.6,0.002
m33,SEAK_SST_May,-0.28658191,0.138,-2.082,0.051
m33,as.factor(vessel)Cobb:adj_raw_pink_log,0.32211825,0.098,3.285,0.004
m33,as.factor(vessel)Medeia:adj_raw_pink_log,0.3260858,0.137,2.384,0.028
m33,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.25555189,0.079,3.227,0.004
m33,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08951622,0.038,-2.373,0.028
m34,(Intercept),5.13271581,1.761,2.915,0.009
m34,SEAK_SST_MJJ,-0.30521495,0.169,-1.806,0.087
m34,as.factor(vessel)Cobb:adj_raw_pink_log,0.32327803,0.101,3.215,0.005
m34,as.factor(vessel)Medeia:adj_raw_pink_log,0.34207393,0.143,2.386,0.028
m34,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.2498274,0.081,3.09,0.006
m34,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08403162,0.039,-2.161,0.044
m35,(Intercept),5.02424024,1.378,3.647,0.002
m35,SEAK_SST_AMJ,-0.38759857,0.168,-2.306,0.033
m35,as.factor(vessel)Cobb:adj_raw_pink_log,0.33796965,0.097,3.493,0.002
m35,as.factor(vessel)Medeia:adj_raw_pink_log,0.35274787,0.136,2.588,0.018
m35,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.26841013,0.079,3.416,0.003
m35,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08214388,0.037,-2.208,0.04
m36,(Intercept),5.35247842,1.64,3.265,0.004
m36,SEAK_SST_AMJJ,-0.37335196,0.178,-2.097,0.05
m36,as.factor(vessel)Cobb:adj_raw_pink_log,0.33336502,0.099,3.384,0.003
m36,as.factor(vessel)Medeia:adj_raw_pink_log,0.35443778,0.14,2.53,0.02
m36,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.25874462,0.079,3.259,0.004
m36,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08294293,0.038,-2.187,0.041
